Expsample_ID	Reference_Transcript_ID	Repository_Name	Transcript_Type_Reported	Result_Unit_Reported	Value_Reported	Comments
RAP1_IAA_30M_REP1	YAL046C	Ensembl	mRNA	TPM	447.369213	
RAP1_UNINDUCED_REP1	YAL046C	Ensembl	mRNA	TPM	1040.110203	
RAP1_UNINDUCED_REP2	YAL046C	Ensembl	mRNA	TPM	1258.496411	
WT_REP1	YAL046C	Ensembl	mRNA	TPM	1040.672483	
WT_REP2	YAL046C	Ensembl	mRNA	TPM	1775.245481	
RAP1_IAA_30M_REP1	YAL045C	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL045C	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL045C	Ensembl	mRNA	TPM	322.812363	
WT_REP1	YAL045C	Ensembl	mRNA	TPM	0	
WT_REP2	YAL045C	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL044W-A	Ensembl	mRNA	TPM	1517.84361	
RAP1_UNINDUCED_REP1	YAL044W-A	Ensembl	mRNA	TPM	1340.267785	
RAP1_UNINDUCED_REP2	YAL044W-A	Ensembl	mRNA	TPM	3243.352853	
WT_REP1	YAL044W-A	Ensembl	mRNA	TPM	1174.213634	
WT_REP2	YAL044W-A	Ensembl	mRNA	TPM	1000.970354	
RAP1_IAA_30M_REP1	YAL044C	Ensembl	mRNA	TPM	4261.140744	
RAP1_UNINDUCED_REP1	YAL044C	Ensembl	mRNA	TPM	7899.108329	
RAP1_UNINDUCED_REP2	YAL044C	Ensembl	mRNA	TPM	8923.715437	
WT_REP1	YAL044C	Ensembl	mRNA	TPM	3256.585619	
WT_REP2	YAL044C	Ensembl	mRNA	TPM	3258.104419	
RAP1_IAA_30M_REP1	YAL043C	Ensembl	mRNA	TPM	1326.297797	
RAP1_UNINDUCED_REP1	YAL043C	Ensembl	mRNA	TPM	1179.098233	
RAP1_UNINDUCED_REP2	YAL043C	Ensembl	mRNA	TPM	1222.857422	
WT_REP1	YAL043C	Ensembl	mRNA	TPM	816.542607	
WT_REP2	YAL043C	Ensembl	mRNA	TPM	855.612526	
RAP1_IAA_30M_REP1	YAL042C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL042C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL042C-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL042C-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL042C-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL042W	Ensembl	mRNA	TPM	5819.014708	
RAP1_UNINDUCED_REP1	YAL042W	Ensembl	mRNA	TPM	5427.103564	
RAP1_UNINDUCED_REP2	YAL042W	Ensembl	mRNA	TPM	5589.965026	
WT_REP1	YAL042W	Ensembl	mRNA	TPM	3517.265359	
WT_REP2	YAL042W	Ensembl	mRNA	TPM	4232.467825	
RAP1_IAA_30M_REP1	YAL041W	Ensembl	mRNA	TPM	1103.267939	
RAP1_UNINDUCED_REP1	YAL041W	Ensembl	mRNA	TPM	1041.617226	
RAP1_UNINDUCED_REP2	YAL041W	Ensembl	mRNA	TPM	1155.062373	
WT_REP1	YAL041W	Ensembl	mRNA	TPM	868.871815	
WT_REP2	YAL041W	Ensembl	mRNA	TPM	927.236751	
RAP1_IAA_30M_REP1	YAL040C	Ensembl	mRNA	TPM	963.291868	
RAP1_UNINDUCED_REP1	YAL040C	Ensembl	mRNA	TPM	1093.298273	
RAP1_UNINDUCED_REP2	YAL040C	Ensembl	mRNA	TPM	1185.412909	
WT_REP1	YAL040C	Ensembl	mRNA	TPM	761.39528	
WT_REP2	YAL040C	Ensembl	mRNA	TPM	1050.979973	
RAP1_IAA_30M_REP1	YAL039C	Ensembl	mRNA	TPM	674.883298	
RAP1_UNINDUCED_REP1	YAL039C	Ensembl	mRNA	TPM	1126.177092	
RAP1_UNINDUCED_REP2	YAL039C	Ensembl	mRNA	TPM	1339.732873	
WT_REP1	YAL039C	Ensembl	mRNA	TPM	422.012751	
WT_REP2	YAL039C	Ensembl	mRNA	TPM	406.298794	
RAP1_IAA_30M_REP1	YAL038W	Ensembl	mRNA	TPM	187993.195861	
RAP1_UNINDUCED_REP1	YAL038W	Ensembl	mRNA	TPM	187678.910907	
RAP1_UNINDUCED_REP2	YAL038W	Ensembl	mRNA	TPM	205851.75005	
WT_REP1	YAL038W	Ensembl	mRNA	TPM	179821.881866	
WT_REP2	YAL038W	Ensembl	mRNA	TPM	211127.768519	
RAP1_IAA_30M_REP1	YAL037C-B	Ensembl	mRNA	TPM	53.69842	
RAP1_UNINDUCED_REP1	YAL037C-B	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL037C-B	Ensembl	mRNA	TPM	79.602166	
WT_REP1	YAL037C-B	Ensembl	mRNA	TPM	0	
WT_REP2	YAL037C-B	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL037C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL037C-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL037C-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL037C-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL037C-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL037W	Ensembl	mRNA	TPM	272.497984	
RAP1_UNINDUCED_REP1	YAL037W	Ensembl	mRNA	TPM	334.815869	
RAP1_UNINDUCED_REP2	YAL037W	Ensembl	mRNA	TPM	312.517527	
WT_REP1	YAL037W	Ensembl	mRNA	TPM	212.989703	
WT_REP2	YAL037W	Ensembl	mRNA	TPM	68.35317	
RAP1_IAA_30M_REP1	YAL036C	Ensembl	mRNA	TPM	2484.378015	
RAP1_UNINDUCED_REP1	YAL036C	Ensembl	mRNA	TPM	2501.931054	
RAP1_UNINDUCED_REP2	YAL036C	Ensembl	mRNA	TPM	3288.217363	
WT_REP1	YAL036C	Ensembl	mRNA	TPM	2015.628228	
WT_REP2	YAL036C	Ensembl	mRNA	TPM	2356.268231	
RAP1_IAA_30M_REP1	YAL035W	Ensembl	mRNA	TPM	6317.756965	
RAP1_UNINDUCED_REP1	YAL035W	Ensembl	mRNA	TPM	6427.202571	
RAP1_UNINDUCED_REP2	YAL035W	Ensembl	mRNA	TPM	6059.122143	
WT_REP1	YAL035W	Ensembl	mRNA	TPM	6136.512475	
WT_REP2	YAL035W	Ensembl	mRNA	TPM	6029.327126	
RAP1_IAA_30M_REP1	YAL034C-B	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL034C-B	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL034C-B	Ensembl	mRNA	TPM	0	
WT_REP1	YAL034C-B	Ensembl	mRNA	TPM	0	
WT_REP2	YAL034C-B	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL034W-A	Ensembl	mRNA	TPM	493.794673	
RAP1_UNINDUCED_REP1	YAL034W-A	Ensembl	mRNA	TPM	119.669672	
RAP1_UNINDUCED_REP2	YAL034W-A	Ensembl	mRNA	TPM	775.693145	
WT_REP1	YAL034W-A	Ensembl	mRNA	TPM	193.031572	
WT_REP2	YAL034W-A	Ensembl	mRNA	TPM	371.69914	
RAP1_IAA_30M_REP1	YAL034C	Ensembl	mRNA	TPM	726.394041	
RAP1_UNINDUCED_REP1	YAL034C	Ensembl	mRNA	TPM	598.34836	
RAP1_UNINDUCED_REP2	YAL034C	Ensembl	mRNA	TPM	853.262459	
WT_REP1	YAL034C	Ensembl	mRNA	TPM	252.633726	
WT_REP2	YAL034C	Ensembl	mRNA	TPM	324.271775	
RAP1_IAA_30M_REP1	YAL033W	Ensembl	mRNA	TPM	1588.229757	
RAP1_UNINDUCED_REP1	YAL033W	Ensembl	mRNA	TPM	1636.658738	
RAP1_UNINDUCED_REP2	YAL033W	Ensembl	mRNA	TPM	1697.399104	
WT_REP1	YAL033W	Ensembl	mRNA	TPM	1206.597622	
WT_REP2	YAL033W	Ensembl	mRNA	TPM	855.313976	
RAP1_IAA_30M_REP1	YAL032C	Ensembl	mRNA	TPM	668.81677	
RAP1_UNINDUCED_REP1	YAL032C	Ensembl	mRNA	TPM	583.557727	
RAP1_UNINDUCED_REP2	YAL032C	Ensembl	mRNA	TPM	778.133528	
WT_REP1	YAL032C	Ensembl	mRNA	TPM	441.878232	
WT_REP2	YAL032C	Ensembl	mRNA	TPM	671.676378	
RAP1_IAA_30M_REP1	YAL031W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL031W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL031W-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL031W-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL031W-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL031C	Ensembl	mRNA	TPM	799.394153	
RAP1_UNINDUCED_REP1	YAL031C	Ensembl	mRNA	TPM	729.908473	
RAP1_UNINDUCED_REP2	YAL031C	Ensembl	mRNA	TPM	681.297428	
WT_REP1	YAL031C	Ensembl	mRNA	TPM	395.977752	
WT_REP2	YAL031C	Ensembl	mRNA	TPM	309.043078	
RAP1_IAA_30M_REP1	YAL030W	Ensembl	mRNA	TPM	3178.648405	
RAP1_UNINDUCED_REP1	YAL030W	Ensembl	mRNA	TPM	4637.128289	
RAP1_UNINDUCED_REP2	YAL030W	Ensembl	mRNA	TPM	7398.805139	
WT_REP1	YAL030W	Ensembl	mRNA	TPM	2228.858419	
WT_REP2	YAL030W	Ensembl	mRNA	TPM	2025.892777	
RAP1_IAA_30M_REP1	YAL029C	Ensembl	mRNA	TPM	1806.544622	
RAP1_UNINDUCED_REP1	YAL029C	Ensembl	mRNA	TPM	1567.253302	
RAP1_UNINDUCED_REP2	YAL029C	Ensembl	mRNA	TPM	1653.123851	
WT_REP1	YAL029C	Ensembl	mRNA	TPM	1306.177292	
WT_REP2	YAL029C	Ensembl	mRNA	TPM	1436.801068	
RAP1_IAA_30M_REP1	YAL028W	Ensembl	mRNA	TPM	305.472678	
RAP1_UNINDUCED_REP1	YAL028W	Ensembl	mRNA	TPM	221.975158	
RAP1_UNINDUCED_REP2	YAL028W	Ensembl	mRNA	TPM	273.378167	
WT_REP1	YAL028W	Ensembl	mRNA	TPM	63.770765	
WT_REP2	YAL028W	Ensembl	mRNA	TPM	122.773838	
RAP1_IAA_30M_REP1	YAL027W	Ensembl	mRNA	TPM	771.165462	
RAP1_UNINDUCED_REP1	YAL027W	Ensembl	mRNA	TPM	692.119371	
RAP1_UNINDUCED_REP2	YAL027W	Ensembl	mRNA	TPM	717.805596	
WT_REP1	YAL027W	Ensembl	mRNA	TPM	182.641567	
WT_REP2	YAL027W	Ensembl	mRNA	TPM	140.671432	
RAP1_IAA_30M_REP1	YAL026C-A	Ensembl	mRNA	TPM	1913.560647	
RAP1_UNINDUCED_REP1	YAL026C-A	Ensembl	mRNA	TPM	2170.604137	
RAP1_UNINDUCED_REP2	YAL026C-A	Ensembl	mRNA	TPM	1945.287624	
WT_REP1	YAL026C-A	Ensembl	mRNA	TPM	1204.744821	
WT_REP2	YAL026C-A	Ensembl	mRNA	TPM	852.734112	
